,,,,,,,,,
,2025년 12월,,,,,,,,
,,,,,,,26(금),31(금),
,,,,,,,동백룸,,
18:00 - 19:00,,,,,,,"빅데이터 AI 기반 의사결정 
(류근관)",방학,
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
,2026년 1월,,,,,,,,
,2(금),7(수),9(금),14(수),16(금),21(수),22(목),28(수),30(금)
,동백룸,동백룸,동백룸,튤립룸,동백룸,동백룸,동백룸,동백룸,동백룸
18:00 - 19:00,"빅데이터 AI 기반 의사결정  
(이재욱)",빅데이터 AI와 경영 (김태섭),빅데이터 AI와 경영 (김태섭),"빅데이터 AI 기반 의사결정 
(류근관)","빅데이터 AI 기반 의사결정  
(이재욱)","빅데이터 AI 기반 의사결정 
(박현우)",생성형 AI 이해와 응용  (공훈의),"빅데이터 AI 기반 의사결정 
(차상균)",빅데이터 AI 응용사례 (최재식)
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
,2026년 2월,,,,,,,,
,4(수),6(금),11(수),13(금),18(수),20(금),25(수),27(금),
,동백룸,튤립룸,동백룸,,,동백룸,우석경제관 307호,우석경제관 307호,
18:00 - 19:00,"빅데이터 AI 기반 의사결정 
(박현우)",빅데이터 AI 응용사례 (이헌준)       ,생성형 AI 이해와 응용  (공훈의),방학,설날,빅데이터 AI와 경영 (박지영),생성형 AI 이해와응용  (신효필),생성형 AI 이해와응용  (신효필),
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
,2026년 3월,,,,,,,,
,4(수),6(금),11(수),13(금),18(수),20(금),25(수),27(금),
,동백룸,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,
18:00 - 19:00,생성형 AI 이해와 응용  (공훈의),생성형 AI 이해와 응용  (박우진),생성형 AI 이해와 응용  (박우진),빅데이터 AI 응용사례 (박재식),생성형 AI 이해와 응용 (최윤재),생성형 AI 이해와 응용 (최윤재),생성형 AI 이해와 응용  (도재영),생성형 AI 이해와 응용  (도재영),
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
,2026년 4월,,,,,,,,
,1(수),3(금),8(수),10(금),15(수),17(금),22(수),24(금),29(수)
,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호,우석경제관 307호
18:00 - 19:00,빅데이터 AI와 경영 (김장우),빅데이터 AI와 경영 (김장우),빅데이터 AI와 경영 (손영두),빅데이터 AI 응용사례 (박종우),빅데이터 AI 응용사례 (박종우),빅데이터 AI 응용사례 (이인아),빅데이터 AI 응용사례 (이헌준)       ,빅데이터 AI 응용사례 (이승근),빅데이터 AI 응용사례 (안우영)
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
,2026년 5월,,,,,,,,
,1(금),6(수),9(토),13(수),15(금),20(수),22(금),27(수),29(금)
,,동백룸,동백룸,동백룸,동백룸,동백룸,동백룸,동백룸,동백룸
10:00 - 11:00,,,빅데이터 AI 응용사례 (장희수),,,,,,
11:00 - 12:00,,,,,,,,,
12:00 - 13:00,,,,,,,,,
18:00 - 19:00,방학,빅데이터 AI 응용사례 (이재윤),"3기와 4기 
밍글링",생성형 AI 비즈니스 연구 세미나 (공동강사),생성형 AI 비즈니스 연구 세미나 (공동강사),"빅데이터 AI 기반 의사결정 
(이정우)",빅데이터 AI와 경영 (조성준),빅데이터 AI와 경영 (이종섭),빅데이터 AI와 경영 (김세직)
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
,2026년 6월,,,,,,,,
,3(수),5(금),10(수),12(금),17(수),19(금),24(수),26(금),
,,동백룸,동백룸,우석경제관 307호,동백룸,동백룸,동백룸,동백룸,
18:00 - 19:00,지방선거,생성형 AI 이해와 응용  (오민환),AI 윤리와 미래과제  (허성욱),빅데이터 AI와 경영 (박소정),AI 윤리와 미래과제  (박혜진),AI 윤리와 미래과제  (임용),AI 윤리와 미래과제  (이은수),생성형 AI 비즈니스 연구 세미나 (공동강사),
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
,2026년 7월,,,,,,,,
,1(수),4(토),8(수),11(토),,,,,
,동백룸,우석경제관 107호,동백룸,우석경제관 107호,,,,,
14:00 - 15:00,,생성형 AI 비즈니스 연구 세미나 (공동강사) 14시 - 17시,,생성형 AI 비즈니스 연구 세미나 (공동강사) 14시 - 17시,,,,,
15:00 - 16:00,,,,,,,,,
16:00 - 17:00,,,,,,,,,
,,4기와 5기 밍글링,,수료식,,,,,
18:00 - 19:00,생성형 AI 비즈니스 연구 세미나 (공동강사),"4기와 5기 
밍글링",생성형 AI 비즈니스 연구 세미나 (공동강사),수료식,,,,,
19:00 - 20:00,,,,,,,,,
20:00 - 21:00,,,,,,,,,
